Name;MODELS;ER;BPM;TOTAL;BPM AND ER;MODELs AND BPM;ER AND MODELS;3 OUT OF 3;2 OUT OF 3;1 out of 3 and more than 1;;;;;;;;;;
Paola Lara;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Ana Cristina Marcén;1;1;0;2;FALSCH;FALSCH;WAHR;FALSCH;WAHR;FALSCH;;;;;;;;;;
Nicolas Ferry 0001;3;0;0;3;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;
James B. Behm;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Abdel-Rahman H. Tawil;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Prabhat Reddy;0;0;1;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Ibtissem Nafkha;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Priscila Engiel;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Régis Fleurquin;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Alain Le Guennec;2;0;0;2;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;
Jan Martijn E. M. van der Werf;0;1;2;3;WAHR;FALSCH;FALSCH;FALSCH;WAHR;FALSCH;;;;;;;;;;
Wolfgang Kratsch;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Mohammad Alhaj;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Rachid Hamadi;0;0;1;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Brenden Grace;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Udo W. Lipeck;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Marwa Shousha;2;0;0;2;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;
Frank Weil;2;0;0;2;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;
Marcus Denker;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Angelo E. M. Ciarlini;0;2;0;2;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;
Sabine Kuske;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Márcio de Oliveira Barros;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Gerd Podehl;1;0;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Dieter Scheffner;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Quan Z. Sheng;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Ethan K. Jackson;3;0;0;3;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;
Giampaolo Armellin;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
Wesley K. G. Assunção;2;0;0;2;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;
Luca Pazzi;2;0;0;2;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;WAHR;;;;;;;;;;
Boris Cadish;0;1;0;1;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;FALSCH;;;;;;;;;;
João Araújo 0001;1;6;0;7;FALSCH;FALSCH;WAHR;FALSCH;WAHR;FALSCH;;;;;;;;;;
